Zip_3_Key,Sum_2017 Total Population,Zip_5_Key,2017 Total Population,2017 Total Expenditure:Healthcare:Drugs Nonprescription drugs,2017 Total Expenditure:Healthcare:Drugs Nonprescription vitamins,Population Distribution,
10,473023,1034,2065,80507,60027,0.44%,
10,473023,1035,5282,177342,122935,1.12%,
10,473023,1036,5171,204484,158388,1.09%,
10,473023,1037,827,21076,14956,0.17%,
10,473023,1038,2583,94341,66062,0.55%,
10,473023,1039,1684,66848,48535,0.36%,
10,473023,1040,40559,1060050,666225,8.57%,
10,473023,1050,2627,87666,61991,0.56%,
10,473023,1053,1362,50263,35887,0.29%,
10,473023,1054,1811,73071,55711,0.38%,
10,473023,1056,21333,765693,554513,4.51%,
10,473023,1057,8565,307258,226744,1.81%,
10,473023,1060,13746,459207,290937,2.91%,
10,473023,1062,12217,406779,281693,2.58%,
10,473023,1063,1917,5069,2759,0.41%,
10,473023,1068,2021,66084,50852,0.43%,
10,473023,1069,9966,347345,232867,2.11%,
10,473023,1070,600,21235,14457,0.13%,
10,473023,1071,1550,50626,36388,0.33%,
10,473023,1072,1411,52333,39600,0.30%,
10,473023,1073,5872,206510,154244,1.24%,
10,473023,1075,17863,576981,400521,3.78%,
10,473023,1077,9384,357223,259745,1.98%,
10,473023,1080,2414,80654,53656,0.51%,
10,473023,1081,1513,58656,42499,0.32%,
10,473023,1082,10621,320393,213135,2.25%,
10,473023,1084,156,5850,4223,0.03%,
10,473023,1085,42283,1344985,944812,8.94%,
10,473023,1088,741,32677,22647,0.16%,
10,473023,1089,28335,998835,679373,5.99%,
10,473023,1092,2786,81224,52615,0.59%,
10,473023,1095,14056,549951,423361,2.97%,
10,473023,1096,2777,105066,77608,0.59%,
10,473023,1098,1140,47197,35603,0.24%,
11,170989,1103,2801,73637,35432,1.64%,
11,170989,1104,23947,586975,347578,14.00%,
11,170989,1105,11938,207311,105982,6.98%,
11,170989,1106,16243,632265,494655,9.50%,
11,170989,1107,10991,190000,106693,6.43%,
11,170989,1108,26985,636907,381916,15.78%,
11,170989,1109,30364,616276,368988,17.76%,
11,170989,1118,14451,510663,350453,8.45%,
11,170989,1119,14735,400843,259950,8.62%,
11,170989,1128,2642,98570,71956,1.55%,
11,170989,1129,7049,263345,185736,4.12%,
11,170989,1151,8843,203515,115693,5.17%,
12,128441,1201,45856,1488371,971024,35.70%,
12,128441,1220,8274,278070,172091,6.44%,
12,128441,1222,801,26090,17469,0.62%,
12,128441,1223,2167,81001,56059,1.69%,
12,128441,1224,157,5816,4223,0.12%,
12,128441,1225,3216,120054,83695,2.50%,
12,128441,1226,6698,222685,153067,5.21%,
12,128441,1230,8636,312469,216347,6.72%,
12,128441,1235,2927,109368,76806,2.28%,
12,128441,1236,1240,47290,32362,0.97%,
12,128441,1237,2081,80212,57083,1.62%,
12,128441,1238,6190,220329,146977,4.82%,
12,128441,1240,4645,194165,136665,3.62%,
12,128441,1242,333,11441,8858,0.26%,
12,128441,1243,59,2687,2028,0.05%,
12,128441,1245,843,36068,24867,0.66%,
12,128441,1247,15616,470750,288654,12.16%,
12,128441,1253,1260,53410,37871,0.98%,
12,128441,1254,851,38352,30097,0.66%,
12,128441,1255,843,31247,22327,0.66%,
12,128441,1256,743,28470,19098,0.58%,
12,128441,1257,2133,84941,59073,1.66%,
12,128441,1258,370,17507,12103,0.29%,
12,128441,1259,669,26822,19323,0.52%,
12,128441,1262,1277,52198,35936,0.99%,
12,128441,1264,52,3060,2280,0.04%,
12,128441,1266,1653,73981,54624,1.29%,
12,128441,1267,8026,249041,178777,6.25%,
12,128441,1270,825,27228,21579,0.64%,
13,83291,1301,17806,571180,380704,21.38%,
13,83291,1330,1538,59275,43654,1.85%,
13,83291,1331,13530,406354,276430,16.24%,
13,83291,1337,2561,93777,67556,3.07%,
13,83291,1338,90,3368,2424,0.11%,
13,83291,1339,1504,54904,38036,1.81%,
13,83291,1340,1978,73396,50594,2.37%,
13,83291,1341,1739,63542,48850,2.09%,
13,83291,1342,1426,42522,32255,1.71%,
13,83291,1343,115,4721,2921,0.14%,
13,83291,1344,1702,58441,39719,2.04%,
13,83291,1346,150,4358,2977,0.18%,
13,83291,1349,937,27980,17440,1.12%,
13,83291,1350,81,3155,2053,0.10%,
13,83291,1351,2092,76693,52539,2.51%,
13,83291,1354,1509,49680,36386,1.81%,
13,83291,1355,799,28060,21257,0.96%,
13,83291,1360,3017,105192,76480,3.62%,
13,83291,1364,7948,228731,145781,9.54%,
13,83291,1366,1249,44937,33449,1.50%,
13,83291,1367,590,19830,12882,0.71%,
13,83291,1368,1335,48297,33794,1.60%,
13,83291,1370,4113,155741,110451,4.94%,
13,83291,1373,4817,184890,133877,5.78%,
13,83291,1375,3674,118048,71230,4.41%,
13,83291,1376,5413,164347,103281,6.50%,
13,83291,1378,756,26788,19440,0.91%,
13,83291,1379,822,32968,22718,0.99%,
14,219037,1420,41323,1086079,697463,18.87%,
14,219037,1430,6053,188472,141532,2.76%,
14,219037,1431,3297,102854,76126,1.51%,
14,219037,1432,7852,240888,165269,3.58%,
14,219037,1434,1764,11858,8190,0.81%,
14,219037,1436,3391,96999,67385,1.55%,
14,219037,1440,21207,632836,415642,9.68%,
14,219037,1450,11320,357755,272804,5.17%,
14,219037,1451,5334,200590,170390,2.44%,
14,219037,1452,4419,138699,102313,2.02%,
14,219037,1453,41085,1332309,897554,18.76%,
14,219037,1460,9566,305821,230514,4.37%,
14,219037,1462,10491,376765,285885,4.79%,
14,219037,1463,12377,390605,287271,5.65%,
14,219037,1464,7916,218211,159254,3.61%,
14,219037,1468,4414,134619,95791,2.02%,
14,219037,1469,6833,214233,161806,3.12%,
14,219037,1473,7355,249991,187634,3.36%,
14,219037,1474,2571,81270,59839,1.17%,
14,219037,1475,10469,302942,205938,4.78%,
15,383115,1501,16084,576731,413332,4.20%,
15,383115,1503,3005,116186,89091,0.78%,
15,383115,1504,9163,286715,203785,2.39%,
15,383115,1505,4452,164874,123876,1.16%,
15,383115,1506,3497,122617,88593,0.91%,
15,383115,1507,13069,408935,301588,3.41%,
15,383115,1510,14039,468347,315003,3.66%,
15,383115,1515,2229,74177,54351,0.58%,
15,383115,1516,8527,262948,194331,2.23%,
15,383115,1518,3099,110225,79059,0.81%,
15,383115,1519,6546,223253,166594,1.71%,
15,383115,1520,14611,508339,382465,3.81%,
15,383115,1521,2419,93898,68235,0.63%,
15,383115,1522,3327,114128,84283,0.87%,
15,383115,1523,8389,223915,162129,2.19%,
15,383115,1524,6982,226617,162563,1.82%,
15,383115,1527,13334,459525,334023,3.48%,
15,383115,1529,3253,89386,63048,0.85%,
15,383115,1531,973,31975,24214,0.25%,
15,383115,1532,14709,490418,370854,3.84%,
15,383115,1534,5791,178679,126546,1.51%,
15,383115,1535,4751,149380,103383,1.24%,
